t,map2base_x,map2base_y,map2base_yaw,map2odom_x,map2odom_y,map2odom_yaw,odom2base_x,odom2base_y,odom2base_yaw
4.8914,0.059673,0.018014,-0.064820,0.170402,0.055556,-0.113503,-0.104462,-0.042306,0.048599
4.9248,0.059372,0.018508,-0.064957,0.170072,0.055482,-0.113494,-0.104551,-0.042253,0.048512
4.9581,0.059372,0.018508,-0.064957,0.170030,0.055476,-0.113480,-0.104551,-0.042253,0.048512
4.9914,0.060320,0.018314,-0.064838,0.169954,0.055179,-0.113378,-0.104447,-0.042258,0.048529
5.0247,0.060320,0.018314,-0.064838,0.169940,0.055172,-0.113364,-0.104447,-0.042258,0.048529
5.0581,0.059866,0.018313,-0.064967,0.169980,0.055325,-0.113378,-0.104575,-0.042197,0.048394
5.0914,0.059866,0.018313,-0.064967,0.169977,0.055335,-0.113405,-0.104575,-0.042197,0.048394
5.1247,0.059743,0.017732,-0.064774,0.170393,0.055509,-0.113369,-0.104560,-0.042457,0.048467
5.1581,0.059743,0.017732,-0.064774,0.170388,0.055478,-0.113376,-0.104560,-0.042457,0.048467
5.1915,0.059743,0.017732,-0.064774,0.170384,0.055447,-0.113382,-0.104560,-0.042457,0.048467
5.2248,0.059757,0.017838,-0.064678,0.171118,0.054782,-0.113117,-0.104568,-0.042504,0.048572
5.2581,0.060051,0.017864,-0.064636,0.170530,0.056183,-0.113277,-0.104674,-0.042634,0.048607
5.2915,0.060051,0.017864,-0.064636,0.170510,0.056132,-0.113250,-0.104674,-0.042634,0.048607
5.3248,0.060083,0.017637,-0.064521,0.170523,0.056071,-0.113209,-0.104615,-0.042824,0.048731
5.3581,0.060083,0.017637,-0.064521,0.170507,0.056022,-0.113170,-0.104615,-0.042824,0.048731
5.3914,0.060309,0.018518,-0.064465,0.170492,0.055973,-0.113131,-0.104550,-0.042686,0.048673
5.4248,0.060309,0.018518,-0.064465,0.170720,0.055229,-0.113218,-0.104550,-0.042686,0.048673
5.4581,0.060309,0.018518,-0.064465,0.170717,0.055206,-0.113195,-0.104550,-0.042686,0.048673
5.4914,0.060260,0.018617,-0.064463,0.171636,0.056102,-0.113617,-0.104620,-0.042481,0.048609
5.5247,0.060260,0.018617,-0.064463,0.171648,0.056200,-0.113653,-0.104620,-0.042481,0.048609
5.5580,0.060437,0.017795,-0.064515,0.171799,0.056092,-0.113422,-0.104652,-0.042448,0.048567
5.5914,0.061348,0.018923,-0.064981,0.171436,0.055390,-0.113490,-0.104658,-0.042274,0.048510
